date,amount,cost_per_gram
2024-03-21T19:01:47.163,0.08,22.2,80204597-00eb-4412-b7ee-223388806fe2
2024-03-21T19:34:41.13,0.08,22.2,9807a320-2327-40d7-a42d-88bde28ec0d5
2024-03-21T21:23:51.602,0.08,22.2,4c05ccaf-a552-4bba-aaef-2b442a3ebca2
2024-03-21T21:56:44.606,0.08,22.2,9be43041-3a94-484e-9951-f788e33b7d7c
2024-03-21T22:35:40.655,0.08,22.2,74dd5c41-16df-4a86-a0de-e722e52f79cd
2024-03-21T23:01:42.265,0.08,22.2,276872f9-a810-4ea9-a00b-13751fdfc7a1
2024-03-22T08:49:50.899,0.08,22.2,ff3c28e9-54eb-4b7a-aafb-b9a9bc7ded95
2024-03-22T10:11:48.818,0.08,22.2,bd24e687-bb30-4c17-a988-f0f401bed3eb
2024-03-22T11:16:03.957,0.08,22.2,cac6b80c-e6c2-4849-a30f-4f031c8fad74
2024-03-22T12:33:16.265,0.08,22.2,a630ff8e-8f52-4bf3-abaa-d86cb196140e
2024-03-22T14:04:15.638,0.08,22.2,44d02d64-aea1-4e43-a8a0-ed3937e6dc7d
2024-03-22T15:42:03.783,0.08,22.2,7817a1cf-ded4-48ca-bd60-6241fa567895
2024-03-22T18:22:44.814,0.08,22.2,a5cec495-64eb-4d07-8a53-6d9d42ab2ea3
2024-03-22T18:41:42.952,0.08,22.2,c31e6d5e-ef63-4899-9cab-f400948f319e
2024-03-22T20:28:42.361,0.08,22.2,930f1bf5-cf7b-4d65-84ec-bef9be738053
2024-03-22T20:47:43.043,0.08,22.2,d0ca5413-e37f-47c7-9287-3c61ead82f87
2024-03-22T22:02:00,0.08,22.2,054f085e-ecd3-4a5c-8d23-ca8298880cbc
2024-03-22T22:44:54.716,0.08,22.2,05d020b0-4d2d-4b18-ad6c-5ec57251a154
2024-03-23T09:33:36.717,0.08,22.2,4c4f9242-ce24-475e-8c4f-a2d30aa2f7da
2024-03-23T10:01:38.454,0.08,22.2,3cf2ad5b-86c1-4047-927a-cd90daae9200
2024-03-23T11:10:42.158,0.08,22.2,76c586b2-46ed-4679-88f3-9bb3f025e54d
2024-03-23T12:21:32.001,0.08,22.2,3a43f172-0178-49e3-bd0c-e98cadd3b8af
2024-03-23T12:21:33.487,0.08,22.2,e8300b92-80ae-459a-9971-d8885e7ee07a
2024-03-23T14:09:44.029,0.08,22.2,eb37aa5e-c678-4ca1-a40e-fb184bcae688
2024-03-23T14:34:00.109,0.08,22.2,5c1fce3f-023f-4b46-b1e6-1b55c5218cb8
2024-03-23T15:13:13.488,0.08,22.2,8497e430-7257-47c2-9946-a0669b958ad3
2024-03-23T16:32:06.004,0.08,22.2,3e025dd8-6dd3-4364-a558-9ad960b61c0e
2024-03-23T17:53:52.26,0.08,22.2,88274e49-b2f7-4e3d-aeae-b208c7c094ee
2024-03-23T21:16:56.195,0.08,22.2,7de8cef1-487c-4287-9368-a93dd4a7f1ed
2024-03-23T21:38:01.371,0.08,22.2,a74f27cd-1880-4b7d-be0a-3bbbceb1fed4
2024-03-23T22:55:20.846,0.08,22.2,30537e6f-3e29-439d-a64b-5491fe997600
2024-03-23T23:12:12.452,0.08,22.2,869896ac-07cc-476c-abb9-bfbc78d6ac88
2024-03-23T23:34:24.9,0.08,22.2,639ff195-a610-497d-913a-5999fc083a77
2024-03-24T09:58:33.102,0.08,22.2,d3dfa41d-b1e3-4212-8b1a-e237019ebd64
2024-03-24T10:29:15.047,0.08,22.2,46fedecf-242a-4fd1-984e-c0294b7066c0
2024-03-24T10:55:00,0.08,22.2,83f650b5-debf-460c-b967-6273108df354
2024-03-24T11:15:19.248,0.08,22.2,2a823956-b2c8-4411-be0b-f3932356143c
2024-03-24T11:53:44.011,0.08,22.2,186c06ba-1bc9-4f4c-ac4b-060dff5826cd
2024-03-24T13:32:06.372,0.08,22.2,e3d06a99-4f18-4c1a-afd2-466b82f65fc4
2024-03-24T16:13:28.351,0.1,22.2,264abc88-7068-4850-8ef8-071ea4f59cd4
2024-03-24T17:31:45.3,0.1,22.2,0c106c34-330b-475e-9c8f-ca2c3ffac76f
2024-03-24T19:11:41.647,0.1,22.2,af49c5b0-342d-4f34-b704-653921ea9987
2024-03-24T20:25:17.763,0.1,22.2,cd1143e5-c7c0-460e-9730-7922514ad591
2024-03-24T21:23:26.948,0.1,22.2,9f5943fe-0463-4ee7-90e0-95a5c0840b10
2024-03-24T22:13:34.999,0.1,22.2,4cc7cab6-c22a-4c4e-be88-34b8a531f42d
2024-03-24T23:30:47.246,0.1,22.2,e8ef74a6-0a88-4808-83f4-2f990e04e19d
2024-03-25T00:25:03.655,0.1,22.2,b8532efb-b676-4ab0-b355-ff83bcc01573
2024-03-25T09:27:37.837,0.3,22.2,aea65900-bb1a-437a-85a3-e2f9a14e760e
2024-03-25T12:26:31.514,0.1,22.2,00174fb2-82b1-468f-83c3-9dfaaf97fd3b
2024-03-25T12:50:58.747,0.1,22.2,e105cad9-d899-4085-8b2a-e5c132cb4a38
2024-03-25T15:11:52.175,0.1,22.2,b73b334e-2e3a-4d25-836f-2119a9ddddc4
2024-03-25T15:11:53.899,0.1,22.2,67c8d483-de14-44c8-9a26-ad348d94d11e
2024-03-25T17:19:43.691,0.08,22.2,de4591eb-435c-4715-97b3-2c1baba3b46b
2024-03-25T17:46:22.908,0.08,22.2,52147fb8-cd2a-4617-8a31-12a7b199403d
2024-03-25T18:12:17.069,0.08,22.2,584347e8-b776-4252-93d9-62b3fc2bf768
2024-03-25T19:58:00,0.08,22.2,732acc09-2947-4663-894f-e9b47e65d1fc
2024-03-25T20:20:23.3,0.08,22.2,e1b17ba1-a66b-4969-94e6-7ebf4e52c980
2024-03-25T21:51:19.444,0.08,22.2,8c90676d-c45c-4044-bbf9-1aa903b9f714
2024-03-25T22:39:51.739,0.08,22.2,d5880916-542e-43a4-9636-c0828011e2f6
2024-03-25T23:12:06.496,0.08,22.2,cd15bfb2-5741-457f-8a96-8e3e814bbdb8
2024-03-26T09:52:23.765,0.08,22.2,99b9ae57-af04-4418-88a2-fb41d436d4ce
2024-03-26T10:07:47.966,0.08,22.2,1f07af94-bfda-4d0d-bfe9-66f575b42d92
